id;power;cordinates;antenna_Location_WGS84_E;antenna_Location_WGS84_N;type;building;streetNumber;street;town;district;state;country;postal
81;Gross;POINT (2751197 1213605);47.05621515810808;9.428882852066394;4G;;;Valeniweg;Sargans;; 7320; Schweiz; 7320
82;Gross;POINT (2724284 1180873);46.76744190153563;9.065797068485022;4G;;;Danis;Breil/Brigels;; 7165; Schweiz; 7165
83;Mittel;POINT (2539009 1153299);46.52819950546847;6.643702277071768;4G;;;Stade de La Sallaz;Lausanne;; 1011; Schweiz; 1011
84;Mittel;POINT (2573676 1196245);46.9167810868441;7.0930574655786565;4G;;;Blessoney;Murten Zustellung;; 3280; Schweiz; 3280
85;Mittel;POINT (2610582 1229481);47.216178694705825;7.578323996346418;4G;;5; Nordstrasse;Luterbach;; 4542; Schweiz; 4542
86;Mittel;POINT (2679070 1237247);47.28138261999354;8.483760326629879;4G;;;Schuelweidweg;;; 9814; Schweiz; 9814
87;Mittel;POINT (2692304 1232937);47.2409028181924;8.657773822422069;4G;;;Oberortweg;Wädenswil Zust P;; 8820; Schweiz; 8820
88;Gross;POINT (2704725 1112830);46.15880946491748;8.794389097983391;4G;;;IDA Foce Maggia;Locarno;; 6605; Schweiz; 6605
89;Sehr Klein;POINT (2634120 1254410);47.43960169660969;7.89094663317067;4G;;;Hauptstrasse;Tecknau;; 4492; Schweiz; 4492
90;Sehr Klein;POINT (2537589 1152472);46.520629373120514;6.62530769896495;4G;Cinémathèque suisse; 3; Allée Ernest-Ansermet;Lausanne;; 1003; Schweiz; 1003
91;Mittel;POINT (2720663 1126480);46.27890914294518;9.004193734502074;4G;Centrale telefonica; 6; In Bola;Cresciano;; 6705; Schweiz; 6705
92;Sehr Klein;POINT (2607248 1114738);46.1840695049365;7.532515287113573;4G;;;Buvette Orzival Burger;Mission;; 3961; Schweiz; 3961
93;Gross;POINT (2502382 1117990);46.20626719826441;6.173814248923105;4G;;5a; Plateau de Frontenex;Cologny Dist;; 1223; Schweiz; 1223
94;Mittel;POINT (2573151 1178562);46.75769719666962;7.087208788460758;4G;;;Eglise Ecuvillens;Ecuvillens;; 1730; Schweiz; 1730
95;Gross;POINT (2674996 1245987);47.36046280094225;8.431378073652503;4G;;;Waffenplatzstrasse;Birmensdorf Zust;; 8903; Schweiz; 8903
96;Mittel;POINT (2696973 1251915);47.410906399018536;8.723535440795446;4G;;2; Am Dorfbach;Agasul;; 8308; Schweiz; 8308
97;Mittel;POINT (2600462 1145010);46.45642287727769;7.444654549492006;4G;;5; Schulhausstrasse;Lenk im Simmental;; 3775; Schweiz; 3775
98;Mittel;POINT (2604706 1229319);47.21478893955881;7.500751457968007;4G;;3; Kaselfeldstrasse;Bellach Zustellung;; 4512; Schweiz; 4512
99;Gross;POINT (2628063 1260099);47.491053718591104;7.811008644588978;4G;;;Nusshof Abzweigung;Wintersingen;; 4451; Schweiz; 4451
100;Gross;POINT (2665405 1211555);47.05179850237588;8.299430652345634;4G;;;Baselstrasse;Luzern Hirschengr;; 6003; Schweiz; 6003
101;Sehr Klein;POINT (2690248 1140690);46.41149434129938;8.612398445933477;4G;;;Piano di Peccia;Piano di Peccia;; 6695; Schweiz; 6695
102;Mittel;POINT (2611743 1264684);47.53278312756695;7.594569334459556;4G;;169; Bruderholzallee;Basel;; 4059; Schweiz; 4059
103;Gross;POINT (2532344 1156616);46.557394162533214;6.556352716627068;4G;;;Réservoir de Summont;Bussigny Dist;; 1030; Schweiz; 1030
104;Gross;POINT (2722605 1117371);46.19663341648916;9.026990926490855;4G;;;Viale Officina;Bellinzona;; 6503; Schweiz; 6503
105;Mittel;POINT (2586756 1221037);47.14017662572641;7.264039195376494;4G;;37; Rue de Mâche / Mettstrasse;Biel/Bienne;; 2503; Schweiz; 2503
106;Klein;POINT (2549612 1194161);46.89664290207432;6.777393193807286;4G;;;Rue du Grand-Verger;St-Aubin-Sauges;; 2024; Schweiz; 2024
107;Gross;POINT (2620329 1227708);47.200004144876985;7.706916640019699;4G;;;BE354;Hbuchsee Zust;; 3360; Schweiz; 3360
108;Gross;POINT (2668747 1158316);46.572589000720406;8.335405709639659;4G;;;Grimsel-Hospiz;Guttannen;; 3864; Schweiz; 3864
109;Gross;POINT (2685500 1265558);47.53518805023642;8.574154393571934;4G;;1.6; Schützenhausstrasse;Freienstein;; 8427; Schweiz; 8427
110;Mittel;POINT (2600837 1205313);46.99887347604012;7.449636302137171;4G;;10; Landgarbenstrasse;Zollikofen;; 3052; Schweiz; 3052
111;Mittel;POINT (2564742 1176105);46.735202733712164;6.977335090567552;4G;;;Route de Fribourg;Lussy FR;; 1690; Schweiz; 1690
112;Mittel;POINT (2761175 1242044);47.30957006693305;9.570334150705872;4G;;;Eichaustrasse;Oberriet SG Zust;; 9463; Schweiz; 9463
113;Gross;POINT (2721000 1114900);46.174700117498325;9.005564385964298;4G;;;Cantina Giubiasco;Giubiasco;; 6512; Schweiz; 6512
114;Mittel;POINT (2654561 1245123);47.35470001127684;8.160784508540615;4G;Möbel Dössegger; 4; Aarauerstrasse;Seon;; 5703; Schweiz; 5703
115;Mittel;POINT (2502123 1128195);46.298017758050726;6.1683151281680395;4G;;24; Route de la Gare;Mies;; 1295; Schweiz; 1295
116;Gross;POINT (2683746 1253303);47.42520419420249;8.548560506381145;4G;Vesuvio; 40; Glatttalstrasse;Zürich;; 8052; Schweiz; 8052
117;Gross;POINT (2556117 1215108);47.08552051505407;6.86072531335498;4G;;;Boinod;;; 6421; Schweiz; 6421
118;Klein;POINT (2616563 1264875);47.53439754512744;7.65858587471387;4G;;"A2;A3"; Muttenz;Muttenz Hauptstr;; 4132; Schweiz; 4132
119;Mittel;POINT (2500882 1116333);46.19114398142873;6.154734088513483;4G;;9; Avenue de Miremont;Genève;; 1206; Schweiz; 1206
120;Mittel;POINT (2569032 1110090);46.141581055062;7.037887893812237;4G;;;Groupe SOS;Vernayaz;; 1904; Schweiz; 1904
121;Gross;POINT (2693556 1235003);47.25930715742035;8.6747372948424;4G;;102; Seestrasse;Uetikon am See;; 8707; Schweiz; 8707
122;Mittel;POINT (2701355 1258295);47.46762016752435;8.7830350480949;4G;;;Ibergstrasse;Kollbrunn;; 8483; Schweiz; 8483
123;Mittel;POINT (2603829 1203391);46.98157467968468;7.488958671867748;4G;;;Stockhornstrasse;Ittigen;; 3063; Schweiz; 3063
124;Gross;POINT (2758187 1187111);46.816348250439376;9.511638519370454;4G;;;Alpweg;Malix;; 7074; Schweiz; 7074
125;Mittel;POINT (2680881 1225339);47.174065091978605;8.505555067891562;4G;;50; Chamerstrasse;Zug Altstadt;; 6300; Schweiz; 6300
126;Mittel;POINT (2686677 1256049);47.44951989154381;8.587934375605613;4G;;8; Industriestrasse;Kloten Kaserne;; 8302; Schweiz; 8302
127;Mittel;POINT (2498577 1120389);46.227281269740175;6.1240005521439445;4G;;13; Chemin des Fins;Grand-Saconnex D;; 1218; Schweiz; 1218
129;Gross;POINT (2678716 1247991);47.37805198625168;8.480967913337484;4G;;29; Diggelmannstrasse;Zürich;; 8047; Schweiz; 8047
130;Gross;POINT (2510195 1121320);46.237308562813695;6.274390195837555;4G;;376; Route de Jussy;Jussy;; 1254; Schweiz; 1254
131;Sehr Klein;POINT (2682220 1248180);47.37932381748467;8.527396131477378;4G;Project R; 1; Sihlhallenstrasse;Zürich;; 8004; Schweiz; 8004
132;Sehr Klein;POINT (2500082 1119692);46.221237670889465;6.143654117459376;4G;Maison de la paix; 2; Chemin Eugène-Rigot;Genève;; 1202; Schweiz; 1202
133;Gross;POINT (2556470 1144333);46.44891349883063;6.872119742094424;4G;;233; Route de Saint-Maurice;La Tour-de-Peilz;; 1814; Schweiz; 1814
134;Mittel;POINT (2553460 1146486);46.46807774160959;6.8327307068066165;4G;;19; Route de Lavaux;Corseaux;; 1802; Schweiz; 1802
135;Mittel;POINT (2606042 1229439);47.215857571902916;7.518389528913086;4G;;105; Weissensteinstrasse;Langendorf;; 4513; Schweiz; 4513
136;Gross;POINT (2681049 1225725);47.17751617661238;8.507840306020983;4G;;;Bossard Arena;Zug;; 6303; Schweiz; 6303
137;Mittel;POINT (2678087 1215836);47.08893023408048;8.467060160374638;4G;;2; Bahnhofweg;Immensee;; 6405; Schweiz; 6405
138;Klein;POINT (2753060 1173080);46.69137326534407;9.43979051544952;4G;;A13; Thusis;Thusis Zustellung;; 7430; Schweiz; 7430
139;Gross;POINT (2795558 1146481);46.44112165925914;9.983794533051636;4G;;6; Bernina Suot;Pontresina;; 7504; Schweiz; 7504
