Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Gemeinde_Name;E;N;H;antenna_Location_WGS84_E;antenna_Location_WGS84_N;postal
Olten, Haslistrasse;BOGG;Haltestelle;Bus;Olten;2636287;1246197;390;47.36561809222055;7.919007706195501;4605
Genève, Hôpital;TPG;Haltestelle;Bus;Genève;2500454;1116750;387;46.194831405860896;6.149102139236382;1208
Dornach, Quidum;BLT;Haltestelle;Bus;Dornach;2613701;1258659;294;47.47855742307686;7.620387031428604;4143
Schiers, Hinterdorf;PAG;Haltestelle;Bus;Schiers;2771434;1204428;666;46.968774863317336;9.69166202271471;7220
Boningen, Hausenmühli;PAG;Haltestelle;Bus;Boningen;2631225;1238447;412;47.29617159297108;7.851457164230733;4618
Obergesteln;MGB;Haltestelle;Zug;Obergoms;2668111;1151716;1353;46.51328696179562;8.32613666143161;None
Frauenfeld, Lindenplatz;PAG;Haltestelle;Bus;Frauenfeld;2709558;1268294;405;47.55621890874697;8.894279272111552;8510
Berneck, Schlossbrücke;BOS;Haltestelle;Bus;Berneck;2764500;1254666;409;47.422230924024966;9.618927089680918;None
Corsier-sur-Vevey, Omballes;VMCV;Haltestelle;Bus;Corsier-sur-Vevey;2555313;1147684;495;46.4789806456856;6.856738297261021;1804
Stechelberg, Schilthornbahn;PAG;Haltestelle;Bus;Lauterbrunnen;2635504;1156102;861;46.555263012428775;7.901613619829601;3822
Leukerbad, Obere Maressen;LLB;Haltestelle;Bus;Leukerbad;2614834;1136678;1434;46.38130895240479;7.631457500469549;3954
Crissier, Bré;TL;Haltestelle;Bus;Crissier;2534093;1155828;470;46.55048101665479;6.57927193430117;None
Luzern, Kreuzstutz;VBL;Haltestelle;Bus;Luzern;2664789;1211797;467;47.05403564200725;8.291358671658664;6006
Matten (St. Stephan), Stocken;AFA;Haltestelle;Bus;St. Stephan;2599168;1148762;1018;46.49017391848623;7.427804259641408;3772
Uznach, Speerblick;PAG;Haltestelle;Bus;Uznach;2717805;1231709;465;47.22580350721156;8.994189330756265;None
Puidoux;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;Puidoux;2548335;1149392;618;46.49384156543216;6.765685607736667;1070
Vaduz, Mühleholz;VLM;Haltestelle;Bus;Vaduz;2757105;1224715;470;47.15473917857815;9.510477777227344;9490
Grellingen, Neutal;PAG;Haltestelle;Bus;Grellingen;2611620;1254304;352;47.43942840811842;7.592666749852821;4203
Ranflüh, Oberdorf;BLAG;Haltestelle;Bus;Rüderswil;2623005;1203867;625;46.985470447135405;7.741022694449232;3437
Eptingen, Edelweiss;BLT;Haltestelle;Bus;Eptingen;2628434;1248894;567;47.3902603858728;7.815219232197053;4458
