Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Gemeinde_Name;E;N;H;antenna_Location_WGS84_E;antenna_Location_WGS84_N;postal
Bürglen TG, Bahnhof;THURBO;Haltestelle;Bus;Bürglen (TG);2728812;1267917;440;47.5493340031879;9.149915578471465;None
Luzern, Wartegg;VBL;Haltestelle;Bus;Luzern;2667171;1210241;458;47.03980324723974;8.322476437839693;6006
Grenchen, Altersiedlung;BGU;Haltestelle;Bus;Grenchen;2597089;1227381;477;47.19736676429631;7.400212551636229;None
Wildberg, Alte Post;PAG;Haltestelle;Bus;Wildberg;2703925;1253900;656;47.42769636594632;8.816094179494758;None
Römerswil LU, Chäppeliacher;ZVB;Haltestelle;Bus;Römerswil;2661330;1224312;712;47.16692962711282;8.247533288758454;None
Horgen, Widmerheim;SZU;Haltestelle;Bus;Horgen;2686710;1235776;408;47.26719370070221;8.584446903324656;8813
Mumpf;SBB CFF FFS;Haltestelle;Zug;Mumpf;2635457;1266429;310;47.54762701890874;7.909625845556597;4322
Engeloch VS;PAG;Haltestelle;Bus;Simplon;2644877;1119400;1788;46.22455240700428;8.02028913337955;None
St-Luc Forêt du Rochet;FLC;Haltestelle;Sesselbahn;Anniviers;2612534;1119690;1965;46.22853842510548;7.601106786282964;None
Stechelberg, Stegmatte;PAG;Haltestelle;Bus;Lauterbrunnen;2635819;1156916;840;46.56256851268827;7.90578426071601;3822
Locarno, Lungolago Motta;FART;Haltestelle;Bus;Locarno;2705342;1113759;195;46.16706890767607;8.802584097437858;6605
La Châtagne, Le Moulinet;PAG;Haltestelle;Bus;La Brévine;2538947;1204081;1053;46.9849746178476;6.636111643098412;None
Grindelwald, Halten;STI;Haltestelle;Bus;Grindelwald;2644708;1164712;1171;46.63216136407559;8.022465087655647;3818
Lally;MVR;Haltestelle;Zug;Blonay - Saint-Légier;2559713;1147678;1232;46.47920645486069;6.914032660009112;None
Hölstein, Oris;BLT;Haltestelle;Bus;Hölstein;2625014;1252631;423;47.424009787796805;7.770132219058855;4434
Corgémont;SBB CFF FFS;Haltestelle;Zug;Corgémont;2577723;1226981;660;47.19339752356139;7.144667259481586;2606
Paradiso (funicolare);MS;Haltestelle;Standseilbahn;Paradiso;2716745;1094319;303;45.990348377017305;8.945358603557374;None
Rieden AG, Limmatsteg;RVBW;Haltestelle;Bus;Obersiggenthal;2665080;1259557;380;47.48355919780096;8.30210337555685;None
Zürich, Lindenplatz;VBZ;Haltestelle;Bus / Tram;Zürich;2679090;1249082;402;47.38781903544009;8.486112591261845;8030
Biel/Bienne, Taubenloch;VB TPB;Haltestelle;Bus;Biel/Bienne;2587013;1222505;452;47.153386102192094;7.267384598587565;2505
Les Chevalleyres;MVR;Haltestelle;Zug;Blonay - Saint-Légier;2558488;1147284;774;46.47558727975107;6.898116924206604;None
St-Livres, grande salle;PAG;Haltestelle;Bus;Saint-Livres;2519532;1151409;608;46.50913720726776;6.390201450307398;None
Winterthur, Gutschick;SBW;Haltestelle;Bus;Winterthur;2698819;1260695;450;47.4895885580552;8.749934927227018;8410
Gresso;PAG;Haltestelle;Bus;Onsernone;2690829;1119929;989;46.22467872904793;8.615902712453236;None
Seedorf UR, Dorf;AAGU;Haltestelle;Bus;Seedorf (UR);2689579;1192884;376;46.881043279940414;8.613865124491427;None
Gibswil, Bahnhof;VZO;Haltestelle;Bus;Fischenthal;2711668;1241384;760;47.313876013780536;8.915577375994754;8497
Mellingen, Geerig;PAG;Haltestelle;Bus;Mellingen;2662668;1251765;356;47.4137157382516;8.269009762867972;5507
Cavaglia;RhB FR VR;Haltestelle;Zug;Poschiavo;2800477;1138100;1693;46.36431703506658;10.044146264790603;None
Schöftland, Sandplatten;PAG;Haltestelle;Bus;Schöftland;2647578;1239006;477;47.30022385383277;8.067714435519385;5040
Zürich, Hardturm;VBZ;Haltestelle;Bus / Tram;Zürich;2680469;1249806;401;47.39416324772488;8.504504417502101;8030
Hombrechtikon, Dörfli;VZO;Haltestelle;Bus;Hombrechtikon;2700322;1234194;496;47.2510382376085;8.763936203013953;8634
Corjolens, Champ Thomas;TPF;Haltestelle;Bus;Avry;2569335;1181656;683;46.7853634193223;7.037054004148079;None
Le Sépey;TPC;Haltestelle;Zug;Ormont-Dessous;2570304;1134502;975;46.36123642897218;7.052790038662136;None
Purasca, Posta Vecchia;PAG;Haltestelle;Bus;Tresa;2709396;1093075;371;45.98038956553356;8.850244609372163;None
Walde SG, Oberricken;BBO;Haltestelle;Bus;Eschenbach (SG);2720230;1237045;901;47.2733518158107;9.027628572301865;None
La Vachette;TMN;Haltestelle;Sesselbahn;Mont-Noble;2602157;1118661;1802;46.21939422141907;7.466598775737482;None
Ins, Bahnhof;PAG;Haltestelle;Bus;Ins;2574267;1205471;437;46.99979288063615;7.100291749147994;3232
Näfels, Krumm;PAG;Haltestelle;Bus;Glarus Nord;2723035;1216979;440;47.09238537445237;9.0592126164177;None
Mauborget, anc. poste;PAG;Haltestelle;Bus;Mauborget;2537313;1189735;1174;46.85578373953384;6.616614136955793;1453
Lausanne-Chauderon;LEB;Haltestelle;Zug;Lausanne;2537650;1152760;471;46.523225662225535;6.626063643963096;1012
Solothurn, Baseltor;BSU;Haltestelle;Bus;Solothurn;2607768;1228737;444;47.209525461525445;7.5411628229162995;4502
Amriswil, Grenzstrasse;AOT;Haltestelle;Bus;Amriswil;2739173;1267603;455;47.54439644267013;9.28741601573996;None
Ebikon, Schindler;VBL;Haltestelle;Bus;Ebikon;2669383;1215687;421;47.08855882650315;8.352413925701502;6031
Gossau SG, Eichen;PAG;Haltestelle;Bus;Gossau (SG);2735591;1253467;627;47.41804105460838;9.235548544993868;None
Gorgier-St-Aubin;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;La Grande Béroche;2549891;1194429;451;46.89907468193788;6.781024789225603;None
Kirchberg BE, Nyco;BLAG;Haltestelle;Bus;Kirchberg (BE);2610811;1215361;507;47.08916868407736;7.581010853234077;None
Kappelenring, Nord;PAG;Haltestelle;Bus;Wohlen bei Bern;2595276;1201829;507;46.9675175795269;7.376558088441857;None
Les Planchettes, Sur-le-Ring;PAG;Haltestelle;Bus;Les Planchettes;2550162;1218071;1049;47.111749233261605;6.781978820633594;2325
Wahlen b. Laufen, Weihern;PAG;Haltestelle;Bus;Wahlen;2606457;1251240;387;47.41194084722344;7.524178551383096;None
Il Fuorn P6;PAG;Haltestelle;Bus;Zernez;2812079;1171838;1795;46.66405700804765;10.210297961000514;7530
Villars-Epeney, Fontaine;PAG;Haltestelle;Bus;Villars-Epeney;2543336;1181354;547;46.78093844629755;6.696630646644809;1404
Oberalppass (Talstat. Calmut);ASS;Haltestelle;Sesselbahn;Tujetsch;2694418;1168276;2048;46.65904214294267;8.672264819536425;None
Aesch BL, Alterszentrum;BLT;Haltestelle;Bus;Aesch (BL);2611909;1257191;497;47.46538900890702;7.596574565767888;None
Niederuzwil, Friedeck;PAG;Haltestelle;Bus;Uzwil;2728545;1256267;517;47.44463231482983;9.14300750413;9240
Luzern, Wey;VBL;Haltestelle;Bus;Luzern;2666410;1212008;438;47.05577308239641;8.312722838304659;6006
Davos Laret, Ober Laret;VBD;Haltestelle;Bus;Davos;2784429;1190145;1614;46.83687294150172;9.856557046254192;None
Münster VS, Schulhaus;MGB;Haltestelle;Bus;Goms;2663605;1148796;1370;46.4874644184476;8.267025755641836;None
Vinadi;PAG;Haltestelle;Bus;Valsot;2831994;1201592;1088;46.92488004640874;10.485414135695189;None
La Punt, Parkplatz Es-cha;LPF;Haltestelle;Bus;La Punt Chamues-ch;2786502;1162606;2251;46.5886882231028;9.872518737961324;7522
Frasnacht, Post;AOT;Haltestelle;Bus;Arbon;2748150;1265919;414;47.52729176004676;9.40605812221367;None
Samnaun-Dorf, Post;PAG;Haltestelle;Bus;Samnaun;2822520;1203470;1820;46.94500297064992;10.362028194665395;None
Kleine Scheidegg;JB;Haltestelle;Zahnradbahn;Lauterbrunnen;2639969;1159413;2061;46.58479509176531;7.960122537149451;3822
La Côte-aux-Fées,Les Bourquins;PAG;Haltestelle;Bus;La Côte-aux-Fées;2526427;1189366;1075;46.85134776439997;6.473938054461688;2117
Bern, Brunnadernstrasse;SVB;Haltestelle;Bus / Tram;Bern;2601910;1198899;553;46.94117653919938;7.46371795795594;3029
Himmelried, Waldeck;PAG;Haltestelle;Bus;Himmelried;2611014;1252423;537;47.42252089430335;7.584587078663171;4204
Heimenschwand, Rohrimoos Bad;STI;Haltestelle;Bus;Buchholterberg;2620576;1184868;915;46.81465034204274;7.708239055735234;None
Vernier, De-Sauvage;TPG;Haltestelle;Bus;Vernier;2496942;1118901;413;46.21364897314383;6.103140491145755;None
Wermatswil, Chammerholzstrasse;PAG;Haltestelle;Bus;Uster;2698531;1246802;464;47.36469401898893;8.743049250716991;None
Iseltwald, Mühle;PAG;Haltestelle;Bus;Iseltwald;2639889;1173013;604;46.707136313675896;7.960257188262277;3807
Lupfig, Trotte;PAG;Haltestelle;Bus;Lupfig;2657839;1254786;393;47.441327394863606;8.205418094208666;None
Les Agettes, Crételannaz;PAG;Haltestelle;Bus;Sion;2595072;1116925;1307;46.203762531849954;7.374799304382574;None
Cartigny, Croix-en-Champagne;TPG;Haltestelle;Bus;Cartigny;2491476;1114384;433;46.17216206808439;6.033372386920979;1236
Walchwil;SBB CFF FFS;Haltestelle;Zug;Walchwil;2681859;1216971;449;47.09868313978721;8.516937859857102;6318
Genève, Métropole;TPG;Haltestelle;Bus;Genève;2500656;1117699;376;46.203396954778725;6.151516469629365;1208
Basel, Wiesenplatz;BVB;Haltestelle;Bus / Tram;Basel;2611494;1269566;250;47.57669478440014;7.591388145240914;4028
Muotathal, Post;AAGS;Haltestelle;Bus;Muotathal;2700354;1203429;610;46.97434546308799;8.757527844757927;None
Gunzwil, Bäch;PAG;Haltestelle;Bus;Beromünster;2655241;1224841;713;47.17222398902991;8.167292776562372;None
Boncourt;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;Boncourt;2568194;1260294;374;47.49263029019694;7.0165555202791206;2926
Meyrin, Bugnons;TPG;Haltestelle;Bus;Meyrin;2494978;1121407;428;46.235884553331815;6.077130225054562;1217
Kilchberg ZH, Lätten;VBZ;Haltestelle;Bus;Adliswil;2682918;1242593;488;47.32899004666416;8.535603794260947;None
Olivone, Scona;ABl;Haltestelle;Bus;Blenio;2714403;1154029;913;46.52777988382146;8.929785831949006;None
Collonge (funi);MVR;Haltestelle;Standseilbahn;Montreux;2560404;1142012;461;46.42827969874438;6.9235160894697065;None
Ehrendingen, Breitwies;PAG;Haltestelle;Bus;Ehrendingen;2667782;1260389;485;47.49076875858072;8.338076889913056;5420
Zürich, Botanischer Garten;VBZ;Haltestelle;Bus;Zürich;2684550;1245991;421;47.35934248736744;8.557832845964231;8030
Aubonne, Curzilles;PAG;Haltestelle;Bus;Aubonne;2518644;1149309;542;46.49014065420075;6.37900296920259;1170
Pratteln, Friedhof Blözen;AAGL;Haltestelle;Bus;Pratteln;2620457;1263239;350;47.51957437839601;7.7102245408458545;None
Zimmerwald, Kirche;PAG;Haltestelle;Bus;Wald (BE);2602369;1191615;859;46.87565381655008;7.469709564112856;None
Uettligen, Schule;PAG;Haltestelle;Bus;Wohlen bei Bern;2595716;1203838;622;46.9855918274682;7.382320468938576;None
Tennwil;RBL;Haltestelle;Bus;Meisterschwanden;2659246;1239740;494;47.305881420752016;8.222079269382922;5616
Gebenstorf, Reuss;PAG;Haltestelle;Bus;Gebenstorf;2659787;1259049;342;47.47949289300959;8.231812829531952;None
Scalate;PAG;Haltestelle;Bus;Gordola;2709091;1115787;305;46.18471228656076;8.851587707498656;6596
Sursee, Holzacherstrasse;ARAG;Haltestelle;Bus;Oberkirch;2649476;1224545;517;47.17001777523414;8.091219979025901;None
Murist, village;TPF;Haltestelle;Bus;Estavayer;2551765;1182300;661;46.79011292660489;6.806901699555674;None
Ehrendingen, Unterdorf;PAG;Haltestelle;Bus;Ehrendingen;2668356;1261555;443;47.50119553821465;8.34587193068255;5420
Buchrain, Kirchbreite;VBL;Haltestelle;Bus;Buchrain;2669299;1216292;437;47.09400917871394;8.351400393894156;None
Interlaken Ost;BOB;Haltestelle und Bedienpunkt;Zug;Interlaken;2632921;1171121;567;46.69049695655346;7.869004542582643;None
Yverdon-les-Bains, patinoire;TRAVYS;Haltestelle;Bus;Yverdon-les-Bains;2539365;1181676;432;46.78348448817115;6.644591817183104;None
Räfis, Gätterli;BOS;Haltestelle;Bus;Buchs (SG);2754891;1224385;449;47.15229409919879;9.481180293756331;None
Stettfurt, Freudenberg;PAG;Haltestelle;Bus;Stettfurt;2713937;1265681;569;47.53197733766089;8.951777717632794;9507
Dietlikon, Riedenerstrasse;VBG;Haltestelle;Bus;Dietlikon;2688698;1253089;461;47.42263107092844;8.614140307832395;8305
Chur, Amselweg;BuS;Haltestelle;Bus;Chur;2759519;1191725;579;46.85752008755589;9.530697999064138;7001
Zürich, Bucheggplatz;VBZ;Haltestelle;Bus / Tram;Zürich;2682635;1250308;472;47.39840973011914;8.53328398711223;8030
Paudex, Grangette;TL;Haltestelle;Bus;Paudex;2541291;1151281;451;46.510251739411416;6.673700149980495;1094
Rotenboden;GGB;Haltestelle;Zahnradbahn;Zermatt;2625320;1092597;2816;45.98446627083003;7.76537408079986;None
Bern, Technologiepark;SVB;Haltestelle;Bus;Bern;2596319;1198281;562;46.93560944226511;7.390292564771792;3029
Ulmiz FR, Dorf;TPF;Haltestelle;Bus;Ulmiz;2581837;1198028;498;46.93309377450761;7.200120933913341;3214
Pully, Pavillard;TL;Haltestelle;Bus;Pully;2540138;1152345;532;46.51972027269216;6.6585401927252565;1009
Gähwil, Dorf;BOS;Haltestelle;Bus;Kirchberg (SG);2718065;1250817;743;47.39758832335393;9.002650925404744;None
Ettiswil, Schloss Wyher;ARAG;Haltestelle;Bus;Ettiswil;2644500;1221513;521;47.143099594571474;8.025290062603458;6218
Dallenwil, Bahnhof;zb;Haltestelle;Bus;Dallenwil;2672598;1198438;485;46.93306984264567;8.391992443146437;None
Gurbrü, Schulhaus;PAG;Haltestelle;Bus;Gurbrü;2583000;1201594;491;46.96520136733589;7.215259079910817;3208
Cureglia, Rotonda;TPL;Haltestelle;Bus;Cureglia;2716573;1099235;417;46.03459168823745;8.944356981752806;6944
Lunden, Hinterlunden;PAG;Haltestelle;Bus;Luzein;2773080;1201948;781;46.94604900573475;9.712337696223624;7242
Liestal, Heidenloch;AAGL;Haltestelle;Bus;Liestal;2623394;1259074;335;47.4820173515104;7.748999722766581;None
Zürich Altstetten, Bahnhof N;VBZ;Haltestelle;Bus / Tram;Zürich;2679370;1249558;398;47.39206622288432;8.489904987662566;8030
Bassecourt, gare;PAG;Haltestelle;Bus;Haute-Sorne;2585547;1242902;478;47.33681754558511;7.247394962747783;None
Albonago, Via Ruscello;TPL;Haltestelle;Bus;Lugano;2718723;1096655;360;46.01101313978214;8.97146930060844;6901
Estavayer-le-Lac;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;Estavayer;2554565;1188324;463;46.84449674788619;6.842971478279699;None
Mariastein, Abzw. Rotberg;PAG;Haltestelle;Bus;Hofstetten-Flüh;2603679;1257619;510;47.46933512318997;7.487421996880197;None
Vernier, Avenue de l'Ain;TPG;Haltestelle;Bus;Vernier;2497453;1118044;423;46.20601900987885;6.10994948494113;None
Horn (See);SBS;Haltestelle;Schiff;Horn;2752521;1262621;398;47.49663957236974;9.46294961748294;9326
Zollikofen, alte Post;RBS;Haltestelle;Bus;Zollikofen;2601485;1204946;553;46.99557121186187;7.458154949024867;3052
Leuk, Hewald;LLB;Haltestelle;Bus;Leuk;2615383;1130842;1269;46.328798337248685;7.638401094617686;None
Weggis, Magnolienweg;AAGS;Haltestelle;Bus;Weggis;2677440;1208719;492;47.02499424477254;8.457323288547727;6353
Grenchen, Grubenweg;BGU;Haltestelle;Bus;Grenchen;2595889;1227711;549;47.20032850298791;7.384373497003614;None
Savosa, Liceo Ovest;PAG;Haltestelle;Bus;Lugano;2715846;1097198;366;46.016396339821526;8.934467348068615;6901
Wohlen AG, Kapellmatt;PAG;Haltestelle;Bus;Wohlen (AG);2663498;1245174;430;47.35435866544013;8.279071794729274;None
Sembrancher, gare;TMR;Haltestelle;Bus;Sembrancher;2577360;1102910;712;46.077325953957626;7.146007744843586;None
Freienbach, Leutschen;PAG;Haltestelle;Bus;Freienbach;2699611;1228930;429;47.20380480232856;8.753380128415124;8807
Medeglia, Alla Motta;PAG;Haltestelle;Bus;Monteceneri;2716582;1107755;582;46.11121789145993;8.94658836534222;None
Antagnes, Pissot;TPC;Haltestelle;Bus;Ollon;2567080;1124979;537;46.27542157095509;7.011575540328473;None
Schaanwald, Waldstrasse;VLM;Haltestelle;Bus;Mauren;2760296;1230825;458;47.20891132008849;9.554712450982269;None
Semione, Cantonetto;ABl;Haltestelle;Bus;Serravalle;2717975;1140376;402;46.40436588042812;8.97285250051995;None
Lommiswil;BLS;Haltestelle und Bedienpunkt;Zug;Lommiswil;2602340;1229737;555;47.21856106926967;7.469520086054263;4514
Lavin, Bahnhof;PAG;Haltestelle;Bus;Zernez;2804108;1183322;1434;46.76978678271173;10.111318407040546;7530
Onex, marché;TPG;Haltestelle;Bus;Onex;2496914;1116506;412;46.19210334615812;6.103306656223775;None
Wolfwil, Schulhaus;PAG;Haltestelle;Bus;Wolfwil;2627261;1235492;426;47.26976851411055;7.798870216586955;4628
Coglio;FART;Haltestelle;Bus;Maggia;2695934;1124920;347;46.26886183115059;8.68308515871669;6673
Zürich, Förrlibuckstrasse;VBZ;Haltestelle;Bus / Tram;Zürich;2681427;1249602;402;47.39221087589196;8.51715520853602;8030
Schuders, Dorf;PAG;Haltestelle;Bus;Schiers;2774801;1207020;1273;46.99120195126009;9.736884677057942;7220
Bern, Rossfeld;SVB;Haltestelle;Bus;Bern;2600375;1201914;544;46.968299438979805;7.443559741134671;3029
Disentis/Mustér, Punt da Brulf;PAG;Haltestelle;Bus;Disentis/Mustér;2709237;1173653;1040;46.70514269453993;8.867123109318054;7180
Ennetmoos, Morgenstern;PAG;Haltestelle;Bus;Ennetmoos;2668597;1201056;510;46.95704279132615;8.339850646654005;6372
Saillon, les Moilles;PAG;Haltestelle;Bus;Saillon;2580289;1113093;466;46.16901934882406;7.18343704220018;1913
Wohlen AG, Freiämterhof;PAG;Haltestelle;Bus;Wohlen (AG);2662367;1244586;422;47.34917824649955;8.264021390422457;None
Zweisimmen;BLS;Haltestelle und Bedienpunkt;Zug;Zweisimmen;2595109;1155802;942;46.55348509765486;7.374862921230822;None
Ecublens VD, Bassenges;TL;Haltestelle;Metro;Ecublens (VD);2532935;1152962;398;46.52458595072872;6.564590945898884;None
Le Cerneux-Péquignot, M-Lidor;PAG;Haltestelle;Bus;Le Cerneux-Péquignot;2538222;1204873;1065;46.992031135574265;6.626474492072531;None
Riehen, Weilstrasse;BVB;Haltestelle;Tram;Riehen;2616034;1270977;275;47.589289981933845;7.651779884194608;None
Cheiry, village;TPF;Haltestelle;Bus;Surpierre;2554220;1178009;564;46.75168842570844;6.839483672229018;None
Uetliburg SG, Säge;PAG;Haltestelle;Bus;Gommiswald;2720258;1233323;679;47.23987584316189;9.02700274029142;8737
Sursee, Park;PAG;Haltestelle;Bus;Sursee;2650242;1224849;499;47.17269437621983;8.101356933550624;None
Kriens, Pulvermühle;VBL;Haltestelle;Bus;Kriens;2663230;1209541;505;47.03389454015518;8.270526588117967;6011
Frauenfeld, Kantonsschule;SBF;Haltestelle;Bus;Frauenfeld;2710226;1268419;425;47.55723112317087;8.903183683745976;8510
Dietikon, Silbern;VBZ;Haltestelle;Bus;Dietikon;2672015;1252370;385;47.41820105115099;8.392948709203644;None
Les Coeudres-Est;TRN;Haltestelle;Zug;La Sagne;2550659;1208844;1012;47.0287928817988;6.789534785885868;None
Vouvry, poste;PAG;Haltestelle;Bus;Vouvry;2557800;1131665;385;46.33504498894525;6.890582925785738;None
Rasa;Cent;Haltestelle;Kabinenbahn;Centovalli;2693935;1112413;892;46.156649585434806;8.654644352274445;None
Weiningen ZH, Lindenplatz;VBZ;Haltestelle;Bus;Weiningen (ZH);2675106;1252559;413;47.419555498207565;8.433937312782978;None
Riffenmatt, Giebel;PAG;Haltestelle;Bus;Guggisberg;2592508;1179410;1115;46.76582654249377;7.340558271047948;3158
Moutier, Suisse Est;PAG;Haltestelle;Bus;Moutier;2594944;1236389;530;47.27837698074499;7.371802949173953;None
Frümsen, Stig;BOS;Haltestelle;Bus;Sennwald;2753437;1234159;450;47.2405178240468;9.465344127714602;9466
Biel/Bienne, Beau-Rivage;VB TPB;Haltestelle;Bus;Biel/Bienne;2584034;1220369;428;47.13410767700845;7.228180164516333;2505
Ebikon, Falken;VBL;Haltestelle;Bus;Ebikon;2667438;1213938;447;47.073028503108205;8.326539647984847;6031
Roggwil TG, Post;PAG;Haltestelle;Bus;Roggwil (TG);2747655;1263125;426;47.50228231242841;9.398560406660264;None
Léchelles;SBB CFF FFS;Haltestelle;Zug;Belmont-Broye;2567420;1186457;552;46.82845835222757;7.011632940010378;None
Amsteg, Grund/Seilbahn;AAGU;Haltestelle;Bus;Silenen;2693925;1181166;519;46.77504907490917;8.668463987561125;6473
Saas-Fee, Dorfplatz;OSF;Haltestelle;Bus;Saas-Fee;2637639;1106353;1809;46.10763282160483;7.925433121736134;3906
Neuchâtel, Caselle;TRN;Haltestelle;Bus;Neuchâtel;2559048;1204075;518;46.98646890566449;6.900322357596767;None
Wilen bei Wollerau, Obereulen;PAG;Haltestelle;Bus;Freienbach;2698498;1228202;472;47.19742437124899;8.73853332324499;8807
Jouxtens-Mézery, gare;TL;Haltestelle;Bus;Jouxtens-Mézery;2535776;1155647;554;46.54901691282579;6.601240272032822;None
Oberrieden;SBB CFF FFS;Haltestelle;Zug;Oberrieden;2686237;1237157;425;47.279675772107495;8.578462439777832;8942
Kirchenthurnen, Mösli;PAG;Haltestelle;Bus;Thurnen;2604477;1185938;659;46.82457678854489;7.497306820352134;None
Les Geneveys-sur-Coffrane;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;Val-de-Ruz;2555488;1207283;850;47.01509453830853;6.853212865020186;None
Ettingen, Lebernweg;PAG;Haltestelle;Bus;Ettingen;2608132;1258878;339;47.48061900305984;7.546510071262523;4107
Helgisried, Lauimatt;PAG;Haltestelle;Bus;Rüeggisberg;2600510;1184998;775;46.81613559799317;7.445317426778524;None
Langenbruck, Unterdorf;PAG;Haltestelle;Bus;Langenbruck;2624973;1244078;698;47.34708438016857;7.769112434978498;4438
Zuchwil, Kornfeld;BSU;Haltestelle;Bus;Zuchwil;2609130;1228258;435;47.20519973925298;7.5591311029894035;None
Massongex, Pl. Gabriel-Donnet;TPC;Haltestelle;Bus;Massongex;2565376;1121343;399;46.24262823136866;6.989740799301723;1869
Ardez, Bahnhof;PAG;Haltestelle;Bus;Scuol;2810957;1183969;1433;46.77346932470077;10.201227760702508;7550
Unterseen, Stadthausplatz;PAG;Haltestelle;Bus;Unterseen;2631458;1170712;568;46.6868883274344;7.8498515069393715;None
Giez, La Pommelaz;PAG;Haltestelle;Bus;Giez;2537735;1184651;505;46.81009363318055;6.622841906166087;1429
Luzern, Gigeliwald;VBL;Haltestelle;Bus;Luzern;2664891;1210968;526;47.04656925144555;8.292582349529733;6006
Silvaplana, Alp Güglia;PAG;Haltestelle;Bus;Silvaplana;2777016;1149395;2199;46.47247845716952;9.7437332432354;None
Courfaivre, rue du Chételay;PAG;Haltestelle;Bus;Haute-Sorne;2588843;1242634;457;47.33447148872813;7.291011601901032;None
Sörenberg, Südelhöchi;PAG;Haltestelle;Bus;Flühli;2643845;1187077;1108;46.83339633349454;8.013333099132051;None
Riva S. Vitale, Cimitero;PAG;Haltestelle;Bus;Riva San Vitale;2718924;1084235;276;45.89927607692869;8.97093181218318;6826
Isenthal, Heissrüti;AAGU;Haltestelle;Bus;Isenthal;2686497;1196304;729;46.912211888231646;8.574085759549767;6461
Schachen (Gais), Bahnhof;AB;Haltestelle;Bus;Gais;2753992;1247645;961;47.36164674527884;9.477300046477886;9056
Collinasca, Paese;PAG;Haltestelle;Bus;Cerentino;2686276;1128872;752;46.30571748853216;8.558552567618703;6683
Stansstad, Schützen;PAG;Haltestelle;Bus;Stansstad;2668738;1203114;438;46.9755390027728;8.342014112106822;6362
Vevey, Entre-Deux-Villes;VMCV;Haltestelle;Bus;Vevey;2555000;1145265;375;46.45719985737343;6.852898353981171;1811
Dübendorf, Hochbord Nord;VBG;Haltestelle;Bus;Dübendorf;2687806;1250714;431;47.40139189257192;8.601853788515307;None
Zofingen, Untere Brühlstrasse;AVA;Haltestelle;Bus;Zofingen;2637739;1237791;432;47.28993136961325;7.937522640265075;4801
Grenchen, Obere Flurstrasse;BGU;Haltestelle;Bus;Grenchen;2597809;1227637;500;47.19967226690418;7.409712858651114;None
Lyssach, Kernenriedstrasse;BLAG;Haltestelle;Bus;Lyssach;2609718;1213273;510;47.0704040924836;7.566571528858191;None
Heiligkreuz (Mels), Ragnatsch;BOS;Haltestelle;Bus;Mels;2748537;1215159;470;47.07079063256928;9.39439296909319;None
Wilderswil, Stutz;PAG;Haltestelle;Bus;Saxeten;2630888;1165773;1097;46.642486669531095;7.842069244447259;3813
Sax, Rofisbach;BOS;Haltestelle;Bus;Sennwald;2752513;1232596;490;47.22667793818823;9.452614680902132;9466
St. Gallen, Boppartshof;VBSG;Haltestelle;Bus;St. Gallen;2743250;1251986;681;47.403102320470445;9.33653627473741;9023
Wohlen AG, Rebbergstrasse;PAG;Haltestelle;Bus;Wohlen (AG);2663676;1245240;460;47.35493508969704;8.281436964796848;None
Unteriberg, Twingi;PAG;Haltestelle;Bus;Unteriberg;2703854;1210223;948;47.034910396341225;8.805072106770664;8842
Muggio, Meri;PAG;Haltestelle;Bus;Breggia;2724399;1086685;794;45.9203259865744;9.04210085006608;None
Chur, Fontanaplatz;BuS;Haltestelle;Bus;Chur;2759550;1190872;585;46.84984237251638;9.530806080097806;7001
Yverdon-les-Bains, Plaisance;TRAVYS;Haltestelle;Bus;Yverdon-les-Bains;2539732;1180156;438;46.76984553917685;6.649598080775319;None
Adelboden, Oey;AFA;Haltestelle;Bus;Adelboden;2609770;1148790;1250;46.49035612812768;7.565888460410167;3715
Riehen, Im Schlipf;BVB;Haltestelle;Bus;Riehen;2615492;1271320;262;47.59238774722039;7.644586392393041;None
Villeneuve VD (lac);CGN;Haltestelle;Schiff;Villeneuve (VD);2560474;1138714;373;46.39861690901683;6.924708494789573;None
Zürich, Balgrist Ost;VBZ;Haltestelle;Bus;Zürich;2685854;1245504;476;47.35479415496394;8.574998442048262;8030
Sachseln, Brünigstrasse;PAG;Haltestelle;Bus;Sachseln;2661033;1191188;481;46.86902061574326;8.239161042951885;6072
Basel, Universitätsspital;BVB;Haltestelle;Bus / Tram;Basel;2611082;1267882;258;47.56155650311832;7.585870496647186;4028
Huémoz, poste;TPC;Haltestelle;Bus;Ollon;2567999;1126634;1010;46.29035360826784;7.023383452906399;None
Basel, Stücki;BVB;Haltestelle;Bus;Basel;2611757;1269878;249;47.579496164584704;7.594891889058152;4028
La Chaux-de-Fonds, Bonne-Fontaine;TRN;Haltestelle;Bus;La Chaux-de-Fonds;2552159;1215652;1003;47.0901389141791;6.808546058916041;2305
Gossau SG, Vogelsangweg;REGO;Haltestelle;Bus;Gossau (SG);2738184;1253401;657;47.41690834008299;9.269879548071785;None
S-charl;PAG;Haltestelle;Bus;Scuol;2821385;1177886;1809;46.71540284505169;10.334727138927205;7550
Schaffhausen, Kegelgässchen;VBSH;Haltestelle;Bus;Schaffhausen;2690682;1283445;400;47.69534113169839;8.646623483618818;8202
