id;power;cordinates;antenna_Location_WGS84_E;antenna_Location_WGS84_N;building;streetNumber;street;town;district;state;country;postal;type
4187;Mittel;POINT (2609350 1149000);46.492251158711234;7.560422454655369;Gemeindeverwaltung Adelboden; 3; Zelgstrasse;Adelboden;; 3715; Schweiz; 3715;5G
4188;Klein;POINT (2582475 1243688);47.34381217805161;7.206718041856405;;;Transjurane;Boécourt;; 2856; Schweiz; 2856;5G
4189;Mittel;POINT (2584502 1195442);46.90990009026672;7.2352053718043035;;43; Murtenstrasse;Laupen BE;; 3177; Schweiz; 3177;5G
4190;Mittel;POINT (2679773 1248069);47.37862635432448;8.494976736334248;;243; Albisriederstrasse;Zürich;; 8047; Schweiz; 8047;5G
4191;Mittel;POINT (2785715 1195501);46.88467085387814;9.875586848185044;;7; Madrisastrasse;Klosters;; 7250; Schweiz; 7250;5G
4192;Mittel;POINT (2618930 1164073);46.6276394174841;7.6858161635976465;;24a; Niesenstrasse;Reichenbach i. K.;; 3713; Schweiz; 3713;5G
4193;Gross;POINT (2682505 1247651);47.37453069480204;8.531072147519675;;;Eat & Meet;Zürich;; 8004; Schweiz; 8004;5G
4194;Mittel;POINT (2759982 1248308);47.36618057132753;9.556799701871915;;5; Mühlibachstrasse;Lüchingen;; 9450; Schweiz; 9450;5G
4195;Mittel;POINT (2697073 1251730);47.40922796818226;8.724820043318088;;6; Effretikonerstrasse;Agasul;; 8308; Schweiz; 8308;5G
4196;Mittel;POINT (2510289 1141799);46.42152222460736;6.271653920676468;;12; Chemin du Vernay;Gland Dist colis;; 1196; Schweiz; 1196;5G
4197;Mittel;POINT (2735854 1261766);47.49260845430988;9.24155997603996;Christengemeinde Offenes Haus; 8; Poststrasse;Bischofszell;; 9220; Schweiz; 9220;5G
4198;Mittel;POINT (2645467 1252319);47.42011014041774;8.041153993839176;;;Kuny Handweberei;Küttigen;; 5024; Schweiz; 5024;5G
4199;Mittel;POINT (2610460 1268267);47.565029213531815;7.577614864037202;;9; Davidsbodenstrasse;Basel;; 4056; Schweiz; 4056;5G
4200;Sehr Klein;POINT (2498307 1118143);46.207039187937966;6.120991060518227;;44bis; Avenue d'Aïre;Genève;; 1203; Schweiz; 1203;5G
4201;Mittel;POINT (2503002 1113529);46.16623278265996;6.182772700195083;;97; Chemin des Rasses;Veyrier;; 1255; Schweiz; 1255;5G
4203;Mittel;POINT (2639915 1159376);46.584465486072006;7.9594148079334675;;1116e; Kleine Scheidegg;Eigergletscher;; 3823; Schweiz; 3823;5G
4204;Mittel;POINT (2599678 1198277);46.93558395720115;7.4344040852464035;;57; Seftigenstrasse;Bern;; 3007; Schweiz; 3007;5G
4205;Mittel;POINT (2545712 1183678);46.80204115386364;6.727465786772586;;;Avenue de Mordagne;Yvonand;; 1462; Schweiz; 1462;5G
4206;Klein;POINT (2697220 1262437);47.50549220132598;8.729100488540707;Kantonsspital Winterthur; 15; Brauerstrasse;Winterthur;; 8401; Schweiz; 8401;5G
4207;Mittel;POINT (2695748 1260122);47.484890135926925;8.709067411185341;;11; Auwiesenstrasse;Winterthur 6 Zust;; 8406; Schweiz; 8406;5G
4208;Klein;POINT (2738911 1259360);47.47033607286441;9.281365110774502;;17; Hauptwilerstrasse;Waldkirch;; 9205; Schweiz; 9205;5G
4209;Mittel;POINT (2526568 1150297);46.499944962493075;6.482042756510772;;;Route de la Petite Caroline;Tolochenaz;; 1131; Schweiz; 1131;5G
4210;Gross;POINT (2585798 1189847);46.85960082522181;7.252392027723322;;6; Industriestrasse;Schmitten FR;; 3185; Schweiz; 3185;5G
4211;Mittel;POINT (2699413 1220550);47.1284689956581;8.748920338431828;;25; Schmiedenstrasse;Einsiedeln Zust;; 8840; Schweiz; 8840;5G
4212;Mittel;POINT (2608260 1193909);46.89624246552706;7.547027059079051;;;Einschlaggasse;Rubigen;; 3113; Schweiz; 3113;5G
4213;Mittel;POINT (2573455 1209270);47.03393267287228;7.089392538616149;;33; Rebenweg;Erlach;; 3235; Schweiz; 3235;5G
4214;Mittel;POINT (2610252 1265915);47.54387926452857;7.574797046178087;;;Kernmattstrasse;Binningen 1;; 4102; Schweiz; 4102;5G
4215;Gross;POINT (2713383 1246022);47.35529162600713;8.939428248376688;;;Waldsbergstrasse;Steg im Tösstal;; 8496; Schweiz; 8496;5G
4216;Mittel;POINT (2741175 1252472);47.40792044700353;9.309208743637651;;434; Zürcher Strasse;St. Gallen;; 9015; Schweiz; 9015;5G
4217;Mittel;POINT (2535814 1181020);46.77725049037752;6.598185476641534;;;Mehrzweckhalle;Chamblon;; 1436; Schweiz; 1436;5G
4218;Mittel;POINT (2668325 1236287);47.27394803083916;8.341602308817011;Zürcherstrasse 1; 1; Zürcherstrasse;Muri AG Zustellung;; 5630; Schweiz; 5630;5G
4219;Mittel;POINT (2614546 1211275);47.05234423038096;7.630069900038206;;17; Heimiswilstrasse;Burgdorf PF mob;; 3400; Schweiz; 3400;5G
4220;Mittel;POINT (2623477 1226541);47.18940335417356;7.748400792653356;;200; Moos;Thunstetten;; 4922; Schweiz; 4922;5G
4221;Mittel;POINT (2682623 1245274);47.35313857154046;8.532195797960906;Hirslanden Klinik Im Park; 220; Seestrasse;Zürich 27 Zust;; 8027; Schweiz; 8027;5G
4223;Mittel;POINT (2516168 1146507);46.46463151683288;6.34726633441217;;5; Chemin des Vignes;Mont-sur-Rolle;; 1185; Schweiz; 1185;5G
